question,answer,text
Which character is the Defense Against the Dark Arts teacher in 'Harry Potter and the Prisoner of Azkaban'?,Remus Lupin.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which character is the Defense Against the Dark Arts teacher in 'Harry Potter and the Prisoner of Azkaban'? [/INST] Remus Lupin. </s>
Which of Harry’s acquaintances reveals that he doesn’t believe Harry’s story about Voldemort being back?,Seamus Finnigan (who eventually comes around),<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of Harry’s acquaintances reveals that he doesn’t believe Harry’s story about Voldemort being back? [/INST] Seamus Finnigan (who eventually comes around) </s>
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What item in the Headmaster's Office allows you to review bottled memories? [/INST] The Pensieve </s>
What is the name of the wizarding prison guarded by Dementors?,Azkaban,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the wizarding prison guarded by Dementors? [/INST] Azkaban </s>
What is the name of the ghost who haunts the Ravenclaw common room?,The Grey Lady,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the ghost who haunts the Ravenclaw common room? [/INST] The Grey Lady </s>
What is the name of the dark wizard who was known for his expertise in Legilimency and Occlumency?,Severus Snape,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the dark wizard who was known for his expertise in Legilimency and Occlumency? [/INST] Severus Snape </s>
The Vermillious charm produces what colour sparks?,Red,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: The Vermillious charm produces what colour sparks? [/INST] Red </s>
Where can Knotgrass be found?,The Forbidden Forest,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where can Knotgrass be found? [/INST] The Forbidden Forest </s>
What is the name of the spell used to create light at the tip of the caster's wand?,Lumos,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create light at the tip of the caster's wand? [/INST] Lumos </s>
What spell does Professor McGonagall use to animate the suits of armor to protect Hogwarts?,Piertotum Locomotor.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What spell does Professor McGonagall use to animate the suits of armor to protect Hogwarts? [/INST] Piertotum Locomotor. </s>
Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student?,Armando Dippet,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student? [/INST] Armando Dippet </s>
"Why does Harry seek out the Horcruxes in ""Harry Potter and the Deathly Hallows""?",To weaken Voldemort and destroy him.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry seek out the Horcruxes in ""Harry Potter and the Deathly Hallows""? [/INST] To weaken Voldemort and destroy him. </s>"
What is the name of the spell used to repel Dementors?,Expecto Patronum,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to repel Dementors? [/INST] Expecto Patronum </s>
What is the name of Hermione Granger's cat?,Crookshanks,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of Hermione Granger's cat? [/INST] Crookshanks </s>
"Why does Ginny Weasley join the Gryffindor Quidditch team as a Seeker in ""Harry Potter and the Half-Blood Prince""?",She is an accomplished and skilled flyer who wants to contribute to the team’s success.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Ginny Weasley join the Gryffindor Quidditch team as a Seeker in ""Harry Potter and the Half-Blood Prince""? [/INST] She is an accomplished and skilled flyer who wants to contribute to the team’s success. </s>"
What is the name of the magical plant that produces a potion to induce courage?,Bubotuber,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical plant that produces a potion to induce courage? [/INST] Bubotuber </s>
"In the wizarding world, speaking to snakes is a skill called what; famously practiced by who?","Parseltongue, Lord Voldemort.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In the wizarding world, speaking to snakes is a skill called what; famously practiced by who? [/INST] Parseltongue, Lord Voldemort. </s>"
What position did Cedric Diggory play on the Hufflepuff Quidditch team?,Seeker,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What position did Cedric Diggory play on the Hufflepuff Quidditch team? [/INST] Seeker </s>
What is the name of the Gringotts bank director?,Gornuk.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Gringotts bank director? [/INST] Gornuk. </s>
In which place does Harry first meet Hagrid to learn about his wizarding heritage?,The Hut-on-the-Rock.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry first meet Hagrid to learn about his wizarding heritage? [/INST] The Hut-on-the-Rock. </s>
What is the name of the spell used to create a temporary barrier?,Protego,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a temporary barrier? [/INST] Protego </s>
What is the name of the spell used to create a protective shield around the caster?,Protego,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a protective shield around the caster? [/INST] Protego </s>
What is the name of the Hungarian Horntail dragon Harry faces in the Triwizard Tournament?,The Hungarian Horntail.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Hungarian Horntail dragon Harry faces in the Triwizard Tournament? [/INST] The Hungarian Horntail. </s>
What is the name of the potion that grants the drinker luck for a short period?,Felix Felicis,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that grants the drinker luck for a short period? [/INST] Felix Felicis </s>
Which character is known for their love of Muggle technology and their role as the Hogwarts caretaker?,Argus Filch.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which character is known for their love of Muggle technology and their role as the Hogwarts caretaker? [/INST] Argus Filch. </s>
What is the name of the potion that grants the drinker immense luck?,Felix Felicis,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that grants the drinker immense luck? [/INST] Felix Felicis </s>
What is Dean Thomas's favorite sport?,Football (soccer),<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Dean Thomas's favorite sport? [/INST] Football (soccer) </s>
